Mouse,Radiation,Diet,Date,Weight
3071,Sham,CDDO-EA,2019-08-21,21
3071,Sham,CDDO-EA,2019-08-28,20.6
3071,Sham,CDDO-EA,2019-09-04,20.2
3071,Sham,CDDO-EA,2019-09-11,20.9
3071,Sham,CDDO-EA,2019-09-18,21
3071,Sham,CDDO-EA,2019-09-25,20.8
3071,Sham,CDDO-EA,2019-10-02,20.8
3071,Sham,CDDO-EA,2019-10-09,20.3
3071,Sham,CDDO-EA,2019-10-15,21.4
3071,Sham,CDDO-EA,2019-10-22,21.6
3071,Sham,CDDO-EA,2019-10-30,20.8
3071,Sham,CDDO-EA,2019-11-05,21.6
3071,Sham,CDDO-EA,2019-11-13,21.4
3071,Sham,CDDO-EA,2019-11-20,22
3071,Sham,CDDO-EA,2019-11-27,21.1
3071,Sham,CDDO-EA,2019-12-14,20
3071,Sham,CDDO-EA,2019-12-11,20.6
3071,Sham,CDDO-EA,2019-12-20,21.7
3071,Sham,CDDO-EA,2019-12-26,23.4
3071,Sham,CDDO-EA,2020-01-02,21.8
3071,Sham,CDDO-EA,2020-01-08,22.9
3071,Sham,CDDO-EA,2020-01-15,21.4
3071,Sham,CDDO-EA,2020-01-22,20.8
3071,Sham,CDDO-EA,2020-01-29,21
3071,Sham,CDDO-EA,2020-02-05,21.7
3071,Sham,CDDO-EA,2020-02-12,22.3
3071,Sham,CDDO-EA,2020-02-19,23.1
3071,Sham,CDDO-EA,2020-02-26,22.3
3071,Sham,CDDO-EA,2020-03-04,22.5
3071,Sham,CDDO-EA,2020-03-20,23.7
3071,Sham,CDDO-EA,2020-04-24,33.8
3076,Sham,CDDO-EA,2019-04-03,26
3076,Sham,CDDO-EA,2019-05-01,26.7
3076,Sham,CDDO-EA,2019-05-07,25.6
3076,Sham,CDDO-EA,2019-05-28,28.1
3076,Sham,CDDO-EA,2019-06-05,25
3076,Sham,CDDO-EA,2019-06-12,26.7
3076,Sham,CDDO-EA,2019-06-19,25.7
3076,Sham,CDDO-EA,2019-06-26,27
3076,Sham,CDDO-EA,2019-07-03,26.7
3076,Sham,CDDO-EA,2019-07-10,27.5
3076,Sham,CDDO-EA,2019-07-17,26.8
3076,Sham,CDDO-EA,2019-07-24,26.7
3076,Sham,CDDO-EA,2019-07-31,27.1
3076,Sham,CDDO-EA,2019-08-07,26.9
3076,Sham,CDDO-EA,2019-08-14,28.2
3076,Sham,CDDO-EA,2019-08-21,26.7
3076,Sham,CDDO-EA,2019-08-28,27.4
3076,Sham,CDDO-EA,2019-09-04,26
3076,Sham,CDDO-EA,2019-09-11,26.1
3076,Sham,CDDO-EA,2019-09-18,27.1
3076,Sham,CDDO-EA,2019-09-25,27.1
3076,Sham,CDDO-EA,2019-10-02,27
3076,Sham,CDDO-EA,2019-10-09,27
3076,Sham,CDDO-EA,2019-10-15,27.4
3076,Sham,CDDO-EA,2019-10-22,26.2
3076,Sham,CDDO-EA,2019-10-30,27.8
3076,Sham,CDDO-EA,2019-11-05,28.8
3076,Sham,CDDO-EA,2019-11-13,27.2
3076,Sham,CDDO-EA,2019-11-20,28.5
3076,Sham,CDDO-EA,2019-11-27,30.1
3076,Sham,CDDO-EA,2019-12-14,26.8
3076,Sham,CDDO-EA,2019-12-11,26.1
3076,Sham,CDDO-EA,2019-12-20,27.7
3076,Sham,CDDO-EA,2019-12-26,30.2
3076,Sham,CDDO-EA,2020-01-02,29.2
3076,Sham,CDDO-EA,2020-01-08,29.5
3076,Sham,CDDO-EA,2020-01-15,28.5
3076,Sham,CDDO-EA,2020-01-22,27.5
3076,Sham,CDDO-EA,2020-01-29,28.8
3076,Sham,CDDO-EA,2020-02-05,28.2
3076,Sham,CDDO-EA,2020-02-12,31.5
3076,Sham,CDDO-EA,2020-02-19,29.9
3076,Sham,CDDO-EA,2020-02-26,29.8
3076,Sham,CDDO-EA,2020-03-04,28.5
3076,Sham,CDDO-EA,2020-03-20,31.3
3076,Sham,CDDO-EA,2020-04-24,25.8
3042,Sham,CDDO-EA,2019-04-03,24.6
3042,Sham,CDDO-EA,2019-05-01,25.8
3042,Sham,CDDO-EA,2019-05-07,26
3042,Sham,CDDO-EA,2019-05-28,26.5
3042,Sham,CDDO-EA,2019-06-05,25.2
3042,Sham,CDDO-EA,2019-06-12,28.6
3042,Sham,CDDO-EA,2019-06-19,28.9
3042,Sham,CDDO-EA,2019-06-26,29.2
3042,Sham,CDDO-EA,2019-07-03,28.3
3042,Sham,CDDO-EA,2019-07-10,28.6
3042,Sham,CDDO-EA,2019-07-17,28.9
3042,Sham,CDDO-EA,2019-07-24,29
3042,Sham,CDDO-EA,2019-07-31,27.4
3042,Sham,CDDO-EA,2019-08-07,28.8
3042,Sham,CDDO-EA,2019-08-14,28.8
3042,Sham,CDDO-EA,2019-08-21,28.1
3042,Sham,CDDO-EA,2019-08-28,27
3042,Sham,CDDO-EA,2019-09-04,27.9
3042,Sham,CDDO-EA,2019-09-11,27.6
3042,Sham,CDDO-EA,2019-09-18,28.4
3042,Sham,CDDO-EA,2019-09-25,28.6
3042,Sham,CDDO-EA,2019-10-02,29.3
3042,Sham,CDDO-EA,2019-10-09,27.9
3042,Sham,CDDO-EA,2019-10-15,27.7
3042,Sham,CDDO-EA,2019-10-22,28
3042,Sham,CDDO-EA,2019-10-30,26.9
3042,Sham,CDDO-EA,2019-11-05,26.7
3042,Sham,CDDO-EA,2019-11-13,26.9
3042,Sham,CDDO-EA,2019-11-20,29.5
3042,Sham,CDDO-EA,2019-11-27,30.2
3042,Sham,CDDO-EA,2019-12-14,27.9
3042,Sham,CDDO-EA,2019-12-11,28.7
3042,Sham,CDDO-EA,2019-12-20,30.8
3042,Sham,CDDO-EA,2019-12-26,32.5
3042,Sham,CDDO-EA,2020-01-02,31
3042,Sham,CDDO-EA,2020-01-08,32.3
3042,Sham,CDDO-EA,2020-01-15,30.4
3042,Sham,CDDO-EA,2020-01-22,30.1
3042,Sham,CDDO-EA,2020-01-29,29
3042,Sham,CDDO-EA,2020-02-05,28.4
3042,Sham,CDDO-EA,2020-02-12,29.1
3042,Sham,CDDO-EA,2020-02-19,31
3042,Sham,CDDO-EA,2020-02-26,31.6
